"","workerid","firstutterance","noun","nounclass","slide_number","predicate","class","response","language","school","age","assess","education","lived","level","family","years","describe","classes","gender.1"
"927","35","es","escritorio","furniture","19","bueno","quality",0.97,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"928","35","es","escritorio","furniture","20","espa&ntilde;ol","nationality",0,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"929","35","es","zanahoria","food","21","morado","color",0.01,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"930","35","no est&aacute;","zanahoria","food","22","podrido","age",0.97,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"931","35","es","queso","food","23","marr&oacute;n","color",0.02,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"932","35","es","escritorio","furniture","24","suave","texture",0.96,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"933","35","no es","escritorio","furniture","25","verde","color",0.02,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"934","35","es","queso","food","26","nuevo","age",0.98,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"935","35","no es","ventilador","furniture","27","fresco","age",0.98,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"936","35","no es","escritorio","furniture","28","largo","size",0.94,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"989","38","no es","pl&aacute;tano","food","3","viejo","age",0,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"990","38","es","queso","food","4","azul","color",0.04,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"991","38","no es","escritorio","furniture","5","enorme","size",0,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"992","38","no es","televisi&oacute;n ","furniture","6","min&uacute;sculo","size",0.03,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"993","38","no es","zanahoria","food","7","americano","nationality",0.94,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"994","38","no es","pl&aacute;tano","food","8","bueno","quality",0.02,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"995","38","es","manzana","food","9","grande","size",0.01,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"996","38","es","ventilador","furniture","10","redondo","shape",0.97,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"997","38","no es","televisi&oacute;n ","furniture","11","suave","texture",0.04,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"998","38","es","queso","food","12","espa&ntilde;ol","nationality",0.98,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"999","38","es","televisi&oacute;n ","furniture","13","nuevo","age",0.03,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"1000","38","no es","manzana","food","14","verde","color",0.01,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"1001","38","no es","ventilador","furniture","15","morado","color",0.02,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"1002","38","no es","manzana","food","16","corto","size",0,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"1003","38","es","silla","furniture","17","cuadrado","shape",0.03,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"1004","38","es","zanahoria","food","18","duro","texture",0.04,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"1005","38","es","silla","furniture","19","rojo","color",0.97,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"1006","38","es","silla","furniture","20","fresco","age",0.04,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"1007","38","es","queso","food","21","amarillo","color",0.06,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"1008","38","es","pl&aacute;tano","food","22","liso","texture",0.92,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"1009","38","es","pl&aacute;tano","food","23","peque&ntilde;o","size",0.04,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"1010","38","no es","manzana","food","24","malo","quality",0.93,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"1011","38","no es","zanahoria","food","25","marr&oacute;n","color",0.07,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"1012","38","es","manzana","food","26","largo","size",0.02,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"1013","38","no es","sof&aacute; ","furniture","27","mexicano","nationality",0,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"1014","38","est&aacute;","sof&aacute; ","furniture","28","podrido","age",0.01,"Espanol","small",42,"Yes","2","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"1041","40","es","televisi&oacute;n ","furniture","3","duro","texture",0,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1042","40","no es","ventilador","furniture","4","peque&ntilde;o","size",0,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1043","40","es","tomate","food","5","min&uacute;sculo","size",1,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1044","40","es","tomate","food","6","suave","texture",1,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1045","40","no es","ventilador","furniture","7","fresco","age",1,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1046","40","no es","televisi&oacute;n ","furniture","8","marr&oacute;n","color",0,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1047","40","no es","escritorio","furniture","9","cuadrado","shape",0,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1048","40","no es","queso","food","10","americano","nationality",1,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1049","40","es","manzana","food","11","liso","texture",0,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1050","40","es","manzana","food","12","nuevo","age",1,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1051","40","es","queso","food","13","viejo","age",1,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1052","40","no es","silla","furniture","14","largo","size",1,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1053","40","no es","televisi&oacute;n ","furniture","15","morado","color",0,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1054","40","est&aacute;","ventilador","furniture","16","podrido","age",1,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1055","40","no es","zanahoria","food","17","corto","size",1,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1056","40","no es","zanahoria","food","18","rojo","color",0,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1057","40","no es","escritorio","furniture","19","enorme","size",1,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1058","40","no es","televisi&oacute;n ","furniture","20","azul","color",0,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1059","40","es","pl&aacute;tano","food","21","verde","color",0,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1060","40","es","ventilador","furniture","22","amarillo","color",0,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1061","40","es","pl&aacute;tano","food","23","malo","quality",1,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1062","40","es","ventilador","furniture","24","grande","size",1,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1063","40","es","televisi&oacute;n ","furniture","25","bueno","quality",1,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1064","40","es","ventilador","furniture","26","redondo","shape",0,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1065","40","no es","escritorio","furniture","27","mexicano","nationality",0,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1066","40","es","tomate","food","28","espa&ntilde;ol","nationality",0,"Español","most",39,"Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes","Male"
"1275","49","es","zanahoria","food","3","malo","quality",0.75,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1276","49","no es","zanahoria","food","4","mexicano","nationality",0.05,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1277","49","no es","queso","food","5","suave","texture",0.1,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1278","49","es","silla","furniture","6","rojo","color",0.27,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1279","49","es","televisi&oacute;n ","furniture","7","fresco","age",0.83,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1280","49","no es","sof&aacute; ","furniture","8","enorme","size",0.84,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1281","49","es","queso","food","9","verde","color",0.51,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1282","49","no es","tomate","food","10","americano","nationality",0.38,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1283","49","es","zanahoria","food","11","largo","size",0.89,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1284","49","es","sof&aacute; ","furniture","12","morado","color",0.15,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1285","49","no es","televisi&oacute;n ","furniture","13","marr&oacute;n","color",0.24,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1286","49","es","televisi&oacute;n ","furniture","14","viejo","age",0.24,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1287","49","no es","sof&aacute; ","furniture","15","redondo","shape",0.09,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1288","49","no es","queso","food","16","liso","texture",0.55,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1289","49","es","queso","food","17","azul","color",0.41,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1290","49","no est&aacute;","ventilador","furniture","18","podrido","age",0,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1291","49","es","tomate","food","19","cuadrado","shape",0.01,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1292","49","no es","escritorio","furniture","20","corto","size",0.74,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1293","49","no es","manzana","food","21","bueno","quality",0.79,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1294","49","es","silla","furniture","22","peque&ntilde;o","size",0.78,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1295","49","es","ventilador","furniture","23","grande","size",0.76,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1296","49","no es","manzana","food","24","nuevo","age",0.01,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1297","49","es","manzana","food","25","amarillo","color",0.11,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1298","49","no es","tomate","food","26","espa&ntilde;ol","nationality",0.55,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1299","49","no es","escritorio","furniture","27","min&uacute;sculo","size",0.17,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1300","49","no es","ventilador","furniture","28","duro","texture",0.21,"Español","most",38,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"1301","50","no es","pl&aacute;tano","food","3","americano","nationality",0,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1302","50","es","zanahoria","food","4","verde","color",0.01,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1303","50","no es","ventilador","furniture","5","grande","size",0.57,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1304","50","es","escritorio","furniture","6","largo","size",0.54,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1305","50","no es","televisi&oacute;n ","furniture","7","peque&ntilde;o","size",0.74,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1306","50","es","pl&aacute;tano","food","8","bueno","quality",0.94,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1307","50","es","zanahoria","food","9","marr&oacute;n","color",0.03,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1308","50","es","ventilador","furniture","10","azul","color",0.16,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1309","50","no es","zanahoria","food","11","cuadrado","shape",0.03,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1310","50","no es","ventilador","furniture","12","nuevo","age",0.98,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1311","50","es","escritorio","furniture","13","amarillo","color",0.35,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1312","50","es","manzana","food","14","liso","texture",0.75,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1313","50","no es","manzana","food","15","fresco","age",0.98,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1314","50","es","pl&aacute;tano","food","16","suave","texture",0.45,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1315","50","es","queso","food","17","viejo","age",0.82,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1316","50","no es","televisi&oacute;n ","furniture","18","duro","texture",0.22,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1317","50","es","televisi&oacute;n ","furniture","19","morado","color",0.39,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1318","50","es","pl&aacute;tano","food","20","min&uacute;sculo","size",0.5,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1319","50","es","ventilador","furniture","21","malo","quality",0.5,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1320","50","es","ventilador","furniture","22","enorme","size",0.69,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1321","50","es","escritorio","furniture","23","mexicano","nationality",0.08,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1322","50","no es","televisi&oacute;n ","furniture","24","corto","size",0.49,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1323","50","est&aacute;","pl&aacute;tano","food","25","podrido","age",0.93,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1324","50","es","pl&aacute;tano","food","26","rojo","color",0.07,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1325","50","es","silla","furniture","27","redondo","shape",0.45,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1326","50","no es","sof&aacute; ","furniture","28","espa&ntilde;ol","nationality",0.22,"español","small",29,"Yes","3","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"1431","55","est&aacute;","queso","food","3","podrido","age",0.16,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1432","55","no es","queso","food","4","malo","quality",0.8,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1433","55","es","queso","food","5","peque&ntilde;o","size",0.21,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1434","55","no es","tomate","food","6","corto","size",0.16,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1435","55","es","ventilador","furniture","7","duro","texture",0.93,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1436","55","no es","pl&aacute;tano","food","8","min&uacute;sculo","size",0.87,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1437","55","es","tomate","food","9","verde","color",0.35,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1438","55","no es","zanahoria","food","10","suave","texture",0.21,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1439","55","no es","ventilador","furniture","11","rojo","color",0.9,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1440","55","es","manzana","food","12","azul","color",0.75,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1441","55","no es","sof&aacute; ","furniture","13","nuevo","age",0.74,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1442","55","no es","queso","food","14","largo","size",0.25,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1443","55","es","manzana","food","15","redondo","shape",0.19,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1444","55","no es","silla","furniture","16","fresco","age",0.94,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1445","55","no es","pl&aacute;tano","food","17","grande","size",0.22,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1446","55","no es","silla","furniture","18","marr&oacute;n","color",0.15,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1447","55","es","escritorio","furniture","19","amarillo","color",0.12,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1448","55","es","escritorio","furniture","20","americano","nationality",0.18,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1449","55","no es","ventilador","furniture","21","viejo","age",0.2,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1450","55","no es","pl&aacute;tano","food","22","bueno","quality",0.23,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1451","55","no es","tomate","food","23","mexicano","nationality",0.29,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1452","55","no es","sof&aacute; ","furniture","24","morado","color",0.27,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1453","55","no es","manzana","food","25","liso","texture",0.23,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1454","55","no es","pl&aacute;tano","food","26","espa&ntilde;ol","nationality",0.18,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1455","55","es","televisi&oacute;n ","furniture","27","enorme","size",0.24,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1456","55","no es","manzana","food","28","cuadrado","shape",0.89,"español","small",27,"Yes","0","both8","native","span","mostlive","SpanSpan","yes","Female"
"1457","56","es","televisi&oacute;n ","furniture","3","bueno","quality",0.97,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1458","56","no es","televisi&oacute;n ","furniture","4","peque&ntilde;o","size",1,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1459","56","no es","queso","food","5","corto","size",0.95,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1460","56","es","queso","food","6","rojo","color",0.98,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1461","56","no es","queso","food","7","viejo","age",0.98,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1462","56","est&aacute;","silla","furniture","8","podrido","age",0.97,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1463","56","es","zanahoria","food","9","azul","color",0,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1464","56","no es","pl&aacute;tano","food","10","morado","color",0,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1465","56","no es","pl&aacute;tano","food","11","duro","texture",0,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1466","56","es","tomate","food","12","nuevo","age",0.99,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1467","56","no es","sof&aacute; ","furniture","13","suave","texture",0.97,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1468","56","no es","televisi&oacute;n ","furniture","14","americano","nationality",0.96,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1469","56","no es","tomate","food","15","fresco","age",0.99,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1470","56","no es","queso","food","16","malo","quality",0.98,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1471","56","es","escritorio","furniture","17","liso","texture",0.98,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1472","56","es","televisi&oacute;n ","furniture","18","cuadrado","shape",0,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1473","56","es","sof&aacute; ","furniture","19","min&uacute;sculo","size",1,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1474","56","no es","silla","furniture","20","verde","color",1,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1475","56","es","ventilador","furniture","21","marr&oacute;n","color",0,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1476","56","es","televisi&oacute;n ","furniture","22","grande","size",0.97,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1477","56","es","zanahoria","food","23","amarillo","color",0,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1478","56","es","manzana","food","24","largo","size",0,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1479","56","no es","sof&aacute; ","furniture","25","mexicano","nationality",0,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1480","56","no es","sof&aacute; ","furniture","26","espa&ntilde;ol","nationality",0,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1481","56","no es","escritorio","furniture","27","enorme","size",0.98,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1482","56","es","sof&aacute; ","furniture","28","redondo","shape",0.97,"ingles, español","most",27,"Yes","3","both8","none","span","midlive","SpanSpan","no","Male"
"1899","73","es","escritorio","furniture","3","corto","size",0.21,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1900","73","es","zanahoria","food","4","cuadrado","shape",0.05,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1901","73","es","silla","furniture","5","americano","nationality",0.04,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1902","73","no es","silla","furniture","6","malo","quality",0.83,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1903","73","no es","escritorio","furniture","7","viejo","age",0.48,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1904","73","es","queso","food","8","suave","texture",0.77,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1905","73","no es","queso","food","9","peque&ntilde;o","size",0.43,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1906","73","es","queso","food","10","fresco","age",0.82,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1907","73","es","tomate","food","11","marr&oacute;n","color",0.01,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1908","73","no es","escritorio","furniture","12","bueno","quality",0.82,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1909","73","es","escritorio","furniture","13","mexicano","nationality",0.08,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1910","73","es","manzana","food","14","min&uacute;sculo","size",0.1,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1911","73","es","sof&aacute; ","furniture","15","morado","color",0.04,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1912","73","no es","sof&aacute; ","furniture","16","duro","texture",0.82,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1913","73","no es","sof&aacute; ","furniture","17","rojo","color",0.04,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1914","73","es","zanahoria","food","18","redondo","shape",0.04,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1915","73","es","televisi&oacute;n ","furniture","19","nuevo","age",0.45,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1916","73","no es","televisi&oacute;n ","furniture","20","azul","color",0.05,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1917","73","est&aacute;","pl&aacute;tano","food","21","podrido","age",0.43,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1918","73","no es","queso","food","22","verde","color",0.12,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1919","73","no es","queso","food","23","espa&ntilde;ol","nationality",0.03,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1920","73","no es","sof&aacute; ","furniture","24","liso","texture",0.16,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1921","73","no es","silla","furniture","25","enorme","size",0.96,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1922","73","no es","zanahoria","food","26","largo","size",0.86,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1923","73","es","ventilador","furniture","27","amarillo","color",0.01,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"1924","73","no es","sof&aacute; ","furniture","28","grande","size",0.88,"Español","none",27,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
