"","workerid","noun","gender","nounclass","slide_number","predicate1","predicate2","class1","class2","response","language","school","age","assess","education","lived","level","family","years","describe","classes"
"754","28","manzana","feminine","food","28","corto","suave","size","texture",0.43,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"911","35","escritorio","masculine","furniture","3","duro","pl&aacute;stico","texture","material",0.02,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"912","35","escritorio","masculine","furniture","4","grande","pl&aacute;stico","size","material",0.04,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"913","35","tomate","masculine","food","5","peque&ntilde;o","pl&aacute;stico","size","material",0.01,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"914","35","sof&aacute; ","masculine","furniture","6","grande","redondo","size","shape",0.96,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"915","35","tomate","masculine","food","7","corto","pl&aacute;stico","size","material",0.98,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"916","35","zanahoria","feminine","food","8","grande","verde","size","color",0.06,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"917","35","ventilador","masculine","furniture","9","nuevo","redondo","age","shape",0.96,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"918","35","tomate","masculine","food","10","grande","morado","size","color",0.95,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"919","35","televisi&oacute;n ","feminine","furniture","11","malo","redondo","quality","shape",0.94,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"920","35","tomate","masculine","food","12","de madera","corto","material","size",0.05,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"921","35","televisi&oacute;n ","feminine","furniture","13","redondo","largo","shape","size",0.03,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"922","35","televisi&oacute;n ","feminine","furniture","14","enorme","suave","size","texture",0.97,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"923","35","pl&aacute;tano","masculine","food","15","metal","fresco","material","age",0.08,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"924","35","queso","masculine","food","16","corto","bueno","size","quality",0.09,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"925","35","manzana","feminine","food","17","min&uacute;sculo","de madera","size","material",0.94,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"926","35","ventilador","masculine","furniture","18","largo","viejo","size","age",0.08,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"927","35","ventilador","masculine","furniture","19","duro","amarillo","texture","color",0.92,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"928","35","pl&aacute;tano","masculine","food","20","amarillo","largo","color","size",0.09,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"929","35","escritorio","masculine","furniture","21","grande","verde","size","color",0.1,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"930","35","pl&aacute;tano","masculine","food","22","min&uacute;sculo","nuevo","size","age",0.09,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"931","35","ventilador","masculine","furniture","23","suave","podrido","texture","age",0.9,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"932","35","silla","feminine","furniture","24","grande","de madera","size","material",0.89,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"933","35","queso","masculine","food","25","malo","podrido","quality","age",0.89,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"934","35","sof&aacute; ","masculine","furniture","26","viejo","corto","age","size",0.89,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"935","35","tomate","masculine","food","27","verde","peque&ntilde;o","color","size",0.9,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
"936","35","zanahoria","feminine","food","28","suave","marr&oacute;n","texture","color",0.1,"espanol","most","25","Yes","3","both8","native","span","mostlive","SpanEng","yes"
