class1,class2,Answer.time_in_minutes,slide_number,response,predicate2,noun,predicate1,gender,nounclass,workerid
shape,age,12.729883333333333,11,0.98,podrido,queso,cuadrado,masculine,food,53
age,shape,12.729883333333333,12,0.95,cuadrado,silla,nuevo,feminine,furniture,53
color,age,12.729883333333333,13,0.14,podrido,manzana,rojo,feminine,food,53
size,color,12.729883333333333,14,0.91,morado,televisi&oacute;n ,grande,feminine,furniture,53
size,color,12.729883333333333,15,0.15,marr&oacute;n,televisi&oacute;n ,largo,feminine,furniture,53
nationality,size,12.729883333333333,16,0.13,corto,queso,mexicano,masculine,food,53
age,quality,12.729883333333333,17,0.08,malo,tomate,viejo,masculine,food,53
shape,texture,12.729883333333333,18,0.52,duro,silla,cuadrado,feminine,furniture,53
age,shape,12.729883333333333,19,0.42,cuadrado,silla,fresco,feminine,furniture,53
age,nationality,12.729883333333333,20,0.76,mexicano,zanahoria,podrido,feminine,food,53
age,nationality,12.729883333333333,21,0.13,espa&ntilde;ol,televisi&oacute;n ,fresco,feminine,furniture,53
quality,color,12.729883333333333,22,0.91,rojo,escritorio,malo,masculine,furniture,53
color,age,12.729883333333333,23,0.12,viejo,tomate,morado,masculine,food,53
color,texture,12.729883333333333,24,0.13,suave,zanahoria,verde,feminine,food,53
color,texture,12.729883333333333,25,0.2,duro,queso,azul,masculine,food,53
nationality,shape,12.729883333333333,26,0.18,redondo,televisi&oacute;n ,espa&ntilde;ol,feminine,furniture,53
size,color,12.729883333333333,27,0.17,azul,queso,corto,masculine,food,53
age,size,12.729883333333333,28,0.11,corto,pl&aacute;tano,podrido,masculine,food,53
size,color,9.098083333333333,3,0.93,rojo,pl&aacute;tano,enorme,masculine,food,54
age,color,9.098083333333333,4,0.82,marr&oacute;n,ventilador,viejo,masculine,furniture,54
size,texture,9.098083333333333,5,0.75,duro,silla,min&uacute;sculo,feminine,furniture,54
nationality,size,9.098083333333333,6,0.82,corto,escritorio,espa&ntilde;ol,masculine,furniture,54
texture,quality,9.098083333333333,7,0.8,bueno,tomate,liso,masculine,food,54
age,size,9.098083333333333,8,0.83,largo,tomate,nuevo,masculine,food,54
color,age,9.098083333333333,9,0.87,podrido,ventilador,amarillo,masculine,furniture,54
texture,size,9.098083333333333,10,0.75,grande,queso,suave,masculine,food,54
shape,color,9.098083333333333,11,0.82,morado,pl&aacute;tano,redondo,masculine,food,54
color,size,9.098083333333333,12,0.84,peque&ntilde;o,silla,morado,feminine,furniture,54
quality,texture,9.098083333333333,13,0.79,duro,queso,malo,masculine,food,54
nationality,size,9.098083333333333,14,0.81,min&uacute;sculo,queso,espa&ntilde;ol,masculine,food,54
texture,age,9.098083333333333,15,0.77,fresco,televisi&oacute;n ,liso,feminine,furniture,54
shape,size,9.098083333333333,16,0.83,enorme,tomate,redondo,masculine,food,54
nationality,age,9.098083333333333,17,0.87,fresco,sof&aacute; ,mexicano,masculine,furniture,54
texture,color,9.098083333333333,18,0.76,marr&oacute;n,pl&aacute;tano,duro,masculine,food,54
nationality,size,9.098083333333333,19,0.86,grande,sof&aacute; ,mexicano,masculine,furniture,54
size,color,9.098083333333333,20,0.85,amarillo,zanahoria,peque&ntilde;o,feminine,food,54
quality,color,9.098083333333333,21,0.78,verde,televisi&oacute;n ,bueno,feminine,furniture,54
size,color,9.098083333333333,22,0.91,azul,tomate,grande,masculine,food,54
size,age,9.098083333333333,23,0.87,podrido,queso,largo,masculine,food,54
quality,age,9.098083333333333,24,0.9,fresco,sof&aacute; ,bueno,masculine,furniture,54
texture,size,9.098083333333333,25,0.83,peque&ntilde;o,escritorio,duro,masculine,furniture,54
nationality,age,9.098083333333333,26,0.75,nuevo,tomate,espa&ntilde;ol,masculine,food,54
color,size,9.098083333333333,27,0.81,enorme,televisi&oacute;n ,morado,feminine,furniture,54
color,shape,9.098083333333333,28,0.77,redondo,ventilador,amarillo,masculine,furniture,54
nationality,size,9.709366666666666,3,0.48,corto,sof&aacute; ,mexicano,masculine,furniture,55
nationality,size,9.709366666666666,4,0.14,largo,pl&aacute;tano,mexicano,masculine,food,55
age,color,9.709366666666666,5,0.64,morado,sof&aacute; ,fresco,masculine,furniture,55
nationality,color,9.709366666666666,6,0.16,morado,televisi&oacute;n ,americano,feminine,furniture,55
age,size,9.709366666666666,7,0.67,peque&ntilde;o,queso,fresco,masculine,food,55
size,color,9.709366666666666,8,0.26,amarillo,silla,min&uacute;sculo,feminine,furniture,55
color,nationality,9.709366666666666,9,0.82,americano,pl&aacute;tano,morado,masculine,food,55
nationality,size,9.709366666666666,10,0.25,min&uacute;sculo,televisi&oacute;n ,espa&ntilde;ol,feminine,furniture,55
size,nationality,9.709366666666666,11,0.83,mexicano,manzana,corto,feminine,food,55
shape,nationality,9.709366666666666,12,0.27,mexicano,televisi&oacute;n ,redondo,feminine,furniture,55
texture,size,9.709366666666666,13,0.89,largo,queso,duro,masculine,food,55
shape,size,9.709366666666666,14,0.3,grande,pl&aacute;tano,cuadrado,masculine,food,55
age,size,9.709366666666666,15,0.84,peque&ntilde;o,televisi&oacute;n ,viejo,feminine,furniture,55
nationality,texture,9.709366666666666,16,0.38,liso,tomate,americano,masculine,food,55
nationality,size,9.709366666666666,17,0.84,min&uacute;sculo,silla,mexicano,feminine,furniture,55
texture,size,9.709366666666666,18,0.32,min&uacute;sculo,zanahoria,liso,feminine,food,55
texture,color,9.709366666666666,19,0.79,morado,manzana,suave,feminine,food,55
texture,age,9.709366666666666,20,0.12,podrido,manzana,liso,feminine,food,55
nationality,quality,9.709366666666666,21,0.78,malo,tomate,espa&ntilde;ol,masculine,food,55
color,size,9.709366666666666,22,0.24,grande,manzana,azul,feminine,food,55
shape,size,9.709366666666666,23,0.75,min&uacute;sculo,sof&aacute; ,cuadrado,masculine,furniture,55
shape,age,9.709366666666666,24,0.27,nuevo,silla,cuadrado,feminine,furniture,55
size,texture,9.709366666666666,25,0.89,suave,escritorio,largo,masculine,furniture,55
color,shape,9.709366666666666,26,0.17,redondo,escritorio,amarillo,masculine,furniture,55
age,size,9.709366666666666,27,0.85,grande,tomate,podrido,masculine,food,55
size,nationality,9.709366666666666,28,0.21,americano,escritorio,min&uacute;sculo,masculine,furniture,55
size,nationality,7.635833333333333,3,0.55,americano,escritorio,grande,masculine,furniture,56
age,size,7.635833333333333,4,0.8,peque&ntilde;o,silla,viejo,feminine,furniture,56
nationality,age,7.635833333333333,5,0.23,viejo,sof&aacute; ,espa&ntilde;ol,masculine,furniture,56
color,nationality,7.635833333333333,6,0.59,americano,televisi&oacute;n ,rojo,feminine,furniture,56
nationality,quality,7.635833333333333,7,0.71,malo,sof&aacute; ,espa&ntilde;ol,masculine,furniture,56
texture,age,7.635833333333333,8,0.61,podrido,zanahoria,suave,feminine,food,56
color,nationality,7.635833333333333,9,0.35,espa&ntilde;ol,zanahoria,verde,feminine,food,56
shape,size,7.635833333333333,10,0.67,enorme,zanahoria,cuadrado,feminine,food,56
texture,nationality,7.635833333333333,11,0.57,espa&ntilde;ol,tomate,duro,masculine,food,56
color,shape,7.635833333333333,12,0.81,cuadrado,tomate,morado,masculine,food,56
shape,quality,7.635833333333333,13,0.62,bueno,manzana,cuadrado,feminine,food,56
size,color,7.635833333333333,14,0.77,morado,ventilador,grande,masculine,furniture,56
size,quality,7.635833333333333,15,0.47,malo,ventilador,corto,masculine,furniture,56
shape,color,7.635833333333333,16,0.67,rojo,tomate,cuadrado,masculine,food,56
quality,shape,7.635833333333333,17,0.6,redondo,manzana,malo,feminine,food,56
size,nationality,7.635833333333333,18,0.63,espa&ntilde;ol,escritorio,peque&ntilde;o,masculine,furniture,56
nationality,shape,7.635833333333333,19,0.69,cuadrado,televisi&oacute;n ,mexicano,feminine,furniture,56
texture,color,7.635833333333333,20,0.57,marr&oacute;n,manzana,liso,feminine,food,56
color,quality,7.635833333333333,21,0.61,bueno,sof&aacute; ,morado,masculine,furniture,56
size,age,7.635833333333333,22,0.58,nuevo,sof&aacute; ,enorme,masculine,furniture,56
size,texture,7.635833333333333,23,0.71,suave,zanahoria,grande,feminine,food,56
color,age,7.635833333333333,24,0.6,viejo,escritorio,rojo,masculine,furniture,56
quality,size,7.635833333333333,25,0.69,peque&ntilde;o,pl&aacute;tano,bueno,masculine,food,56
color,nationality,7.635833333333333,26,0.62,americano,manzana,morado,feminine,food,56
size,shape,7.635833333333333,27,0.58,redondo,ventilador,largo,masculine,furniture,56
age,nationality,7.635833333333333,28,0.61,americano,ventilador,fresco,masculine,furniture,56
age,color,10.365316666666667,3,0,marr&oacute;n,sof&aacute; ,podrido,masculine,furniture,57
texture,nationality,10.365316666666667,4,0.77,espa&ntilde;ol,zanahoria,suave,feminine,food,57
size,texture,10.365316666666667,5,0.24,suave,tomate,largo,masculine,food,57
age,texture,10.365316666666667,6,0.28,suave,televisi&oacute;n ,nuevo,feminine,furniture,57
color,size,10.365316666666667,7,0.08,largo,silla,amarillo,feminine,furniture,57
texture,age,10.365316666666667,8,0.85,podrido,televisi&oacute;n ,liso,feminine,furniture,57
size,nationality,10.365316666666667,9,0.92,espa&ntilde;ol,escritorio,min&uacute;sculo,masculine,furniture,57
size,nationality,10.365316666666667,10,0.89,americano,escritorio,grande,masculine,furniture,57
nationality,color,10.365316666666667,11,0.55,azul,manzana,espa&ntilde;ol,feminine,food,57
color,size,10.365316666666667,12,0.08,peque&ntilde;o,ventilador,rojo,masculine,furniture,57
nationality,age,10.365316666666667,13,0.08,podrido,zanahoria,espa&ntilde;ol,feminine,food,57
color,texture,10.365316666666667,14,0.08,duro,escritorio,rojo,masculine,furniture,57
size,color,10.365316666666667,15,0.9,verde,sof&aacute; ,corto,masculine,furniture,57
size,quality,10.365316666666667,16,0.9,malo,manzana,enorme,feminine,food,57
nationality,size,10.365316666666667,17,0.08,corto,televisi&oacute;n ,mexicano,feminine,furniture,57
color,age,10.365316666666667,18,0.07,fresco,escritorio,rojo,masculine,furniture,57
texture,color,10.365316666666667,19,0.93,azul,escritorio,liso,masculine,furniture,57
size,color,10.365316666666667,20,0.86,rojo,pl&aacute;tano,largo,masculine,food,57
size,nationality,10.365316666666667,21,0.92,espa&ntilde;ol,ventilador,grande,masculine,furniture,57
color,nationality,10.365316666666667,22,0.91,espa&ntilde;ol,queso,amarillo,masculine,food,57
texture,age,10.365316666666667,23,0.9,viejo,queso,suave,masculine,food,57
size,shape,10.365316666666667,24,0.89,cuadrado,manzana,grande,feminine,food,57
age,texture,10.365316666666667,25,0.08,suave,zanahoria,viejo,feminine,food,57
nationality,color,10.365316666666667,26,0.07,azul,sof&aacute; ,americano,masculine,furniture,57
color,age,10.365316666666667,27,0.07,nuevo,queso,amarillo,masculine,food,57
age,texture,10.365316666666667,28,0.09,duro,televisi&oacute;n ,podrido,feminine,furniture,57
nationality,texture,1.2143666666666666,3,0.52,duro,televisi&oacute;n ,americano,feminine,furniture,58
texture,color,1.2143666666666666,4,0.71,marr&oacute;n,ventilador,suave,masculine,furniture,58
size,texture,1.2143666666666666,5,0.27,duro,tomate,corto,masculine,food,58
size,color,1.2143666666666666,6,0.55,rojo,escritorio,grande,masculine,furniture,58
shape,texture,1.2143666666666666,7,0.74,duro,televisi&oacute;n ,redondo,feminine,furniture,58
size,color,1.2143666666666666,8,0.72,amarillo,sof&aacute; ,enorme,masculine,furniture,58
nationality,size,1.2143666666666666,9,1,grande,ventilador,mexicano,masculine,furniture,58
size,color,1.2143666666666666,10,0.17,amarillo,tomate,largo,masculine,food,58
nationality,texture,1.2143666666666666,11,0.8,liso,sof&aacute; ,mexicano,masculine,furniture,58
size,color,1.2143666666666666,12,0.45,amarillo,silla,largo,feminine,furniture,58
size,nationality,1.2143666666666666,13,0.86,espa&ntilde;ol,queso,corto,masculine,food,58
color,size,1.2143666666666666,14,0.05,largo,manzana,morado,feminine,food,58
quality,nationality,1.2143666666666666,15,0.87,espa&ntilde;ol,escritorio,malo,masculine,furniture,58
nationality,color,1.2143666666666666,16,0.22,azul,televisi&oacute;n ,espa&ntilde;ol,feminine,furniture,58
color,size,1.2143666666666666,17,0.1,largo,pl&aacute;tano,amarillo,masculine,food,58
age,size,1.2143666666666666,18,0,min&uacute;sculo,televisi&oacute;n ,nuevo,feminine,furniture,58
quality,texture,1.2143666666666666,19,0.87,liso,tomate,bueno,masculine,food,58
texture,shape,1.2143666666666666,20,0.1,redondo,escritorio,suave,masculine,furniture,58
shape,color,1.2143666666666666,21,0.92,morado,sof&aacute; ,redondo,masculine,furniture,58
texture,nationality,1.2143666666666666,22,0.43,americano,sof&aacute; ,liso,masculine,furniture,58
nationality,size,1.2143666666666666,23,0.5,enorme,ventilador,mexicano,masculine,furniture,58
shape,quality,1.2143666666666666,24,0.83,bueno,zanahoria,cuadrado,feminine,food,58
size,quality,1.2143666666666666,25,0.18,bueno,sof&aacute; ,enorme,masculine,furniture,58
color,quality,1.2143666666666666,26,0.78,malo,pl&aacute;tano,marr&oacute;n,masculine,food,58
color,nationality,1.2143666666666666,27,0.14,mexicano,ventilador,marr&oacute;n,masculine,furniture,58
color,age,1.2143666666666666,28,0.85,podrido,tomate,verde,masculine,food,58
quality,size,10.72845,3,0.27,enorme,ventilador,bueno,masculine,furniture,59
size,age,10.72845,4,0.7,podrido,queso,enorme,masculine,food,59
color,nationality,10.72845,5,0.72,mexicano,ventilador,morado,masculine,furniture,59
color,texture,10.72845,6,0.25,duro,televisi&oacute;n ,marr&oacute;n,feminine,furniture,59
size,quality,10.72845,7,0.19,bueno,pl&aacute;tano,min&uacute;sculo,masculine,food,59
age,texture,10.72845,8,0.27,duro,queso,podrido,masculine,food,59
shape,color,10.72845,9,0.23,verde,escritorio,redondo,masculine,furniture,59
size,color,10.72845,10,0.77,azul,ventilador,enorme,masculine,furniture,59
nationality,color,10.72845,11,0.77,marr&oacute;n,zanahoria,espa&ntilde;ol,feminine,food,59
color,age,10.72845,12,0.23,viejo,ventilador,amarillo,masculine,furniture,59
quality,nationality,10.72845,13,0.83,espa&ntilde;ol,queso,malo,masculine,food,59
size,nationality,10.72845,14,0.8,mexicano,sof&aacute; ,grande,masculine,furniture,59
age,nationality,10.72845,15,0.79,espa&ntilde;ol,manzana,nuevo,feminine,food,59
color,quality,10.72845,16,0.25,bueno,silla,verde,feminine,furniture,59
color,texture,10.72845,17,0.94,suave,silla,amarillo,feminine,furniture,59
color,shape,10.72845,18,0.87,cuadrado,tomate,marr&oacute;n,masculine,food,59
size,shape,10.72845,19,0.07,redondo,ventilador,largo,masculine,furniture,59
color,quality,10.72845,20,0.12,bueno,zanahoria,morado,feminine,food,59
shape,size,10.72845,21,0.12,peque&ntilde;o,ventilador,redondo,masculine,furniture,59
quality,color,10.72845,22,0.86,amarillo,sof&aacute; ,malo,masculine,furniture,59
age,color,10.72845,23,0.18,morado,queso,podrido,masculine,food,59
age,color,10.72845,24,0.2,rojo,sof&aacute; ,podrido,masculine,furniture,59
texture,color,10.72845,25,0.1,marr&oacute;n,sof&aacute; ,duro,masculine,furniture,59
color,size,10.72845,26,0.87,corto,manzana,marr&oacute;n,feminine,food,59
texture,size,10.72845,27,0.86,grande,televisi&oacute;n ,suave,feminine,furniture,59
size,color,10.72845,28,0.18,rojo,zanahoria,grande,feminine,food,59
size,shape,4.019033333333334,3,1,redondo,queso,enorme,masculine,food,60
color,age,4.019033333333334,4,1,nuevo,escritorio,morado,masculine,furniture,60
nationality,age,4.019033333333334,5,1,fresco,televisi&oacute;n ,americano,feminine,furniture,60
texture,age,4.019033333333334,6,0,viejo,escritorio,duro,masculine,furniture,60
nationality,texture,4.019033333333334,7,1,suave,manzana,americano,feminine,food,60
age,size,4.019033333333334,8,1,enorme,queso,viejo,masculine,food,60
texture,color,4.019033333333334,9,1,morado,manzana,duro,feminine,food,60
nationality,texture,4.019033333333334,10,1,suave,manzana,espa&ntilde;ol,feminine,food,60
texture,color,4.019033333333334,11,1,morado,queso,duro,masculine,food,60
nationality,size,4.019033333333334,12,1,min&uacute;sculo,silla,americano,feminine,furniture,60
nationality,size,4.019033333333334,13,0,largo,sof&aacute; ,americano,masculine,furniture,60
size,texture,4.019033333333334,14,1,suave,sof&aacute; ,enorme,masculine,furniture,60
texture,age,4.019033333333334,15,1,nuevo,pl&aacute;tano,suave,masculine,food,60
texture,nationality,4.019033333333334,16,0,mexicano,ventilador,duro,masculine,furniture,60
size,nationality,4.019033333333334,17,0,espa&ntilde;ol,manzana,largo,feminine,food,60
texture,quality,4.019033333333334,18,0,malo,sof&aacute; ,liso,masculine,furniture,60
size,quality,4.019033333333334,19,0,malo,ventilador,grande,masculine,furniture,60
age,size,4.019033333333334,20,1,largo,ventilador,podrido,masculine,furniture,60
nationality,size,4.019033333333334,21,1,corto,silla,mexicano,feminine,furniture,60
age,color,4.019033333333334,22,1,rojo,televisi&oacute;n ,nuevo,feminine,furniture,60
age,shape,4.019033333333334,23,0,redondo,zanahoria,nuevo,feminine,food,60
age,size,4.019033333333334,24,0,grande,manzana,nuevo,feminine,food,60
size,texture,4.019033333333334,25,1,liso,televisi&oacute;n ,grande,feminine,furniture,60
size,shape,4.019033333333334,26,0,redondo,zanahoria,corto,feminine,food,60
nationality,color,4.019033333333334,27,1,azul,ventilador,espa&ntilde;ol,masculine,furniture,60
age,size,4.019033333333334,28,0,corto,sof&aacute; ,fresco,masculine,furniture,60
size,color,6.245983333333333,3,0.74,morado,tomate,largo,masculine,food,61
size,color,6.245983333333333,4,0.86,amarillo,sof&aacute; ,grande,masculine,furniture,61
texture,age,6.245983333333333,5,0.84,nuevo,pl&aacute;tano,duro,masculine,food,61
color,age,6.245983333333333,6,0.8,fresco,ventilador,rojo,masculine,furniture,61
age,size,6.245983333333333,7,0.71,min&uacute;sculo,queso,viejo,masculine,food,61
size,shape,6.245983333333333,8,0.24,redondo,silla,largo,feminine,furniture,61
nationality,texture,6.245983333333333,9,0.89,suave,pl&aacute;tano,mexicano,masculine,food,61
color,texture,6.245983333333333,10,0.76,suave,queso,morado,masculine,food,61
size,age,6.245983333333333,11,0.79,nuevo,manzana,corto,feminine,food,61
color,age,6.245983333333333,12,0.2,nuevo,manzana,morado,feminine,food,61
size,color,6.245983333333333,13,0.83,rojo,manzana,peque&ntilde;o,feminine,food,61
age,color,6.245983333333333,14,0.25,verde,escritorio,viejo,masculine,furniture,61
texture,quality,6.245983333333333,15,0.17,bueno,ventilador,suave,masculine,furniture,61
size,nationality,6.245983333333333,16,0.2,mexicano,sof&aacute; ,peque&ntilde;o,masculine,furniture,61
quality,shape,6.245983333333333,17,0.19,redondo,sof&aacute; ,malo,masculine,furniture,61
nationality,color,6.245983333333333,18,0.15,rojo,ventilador,mexicano,masculine,furniture,61
size,age,6.245983333333333,19,0.88,fresco,pl&aacute;tano,peque&ntilde;o,masculine,food,61
age,color,6.245983333333333,20,0.2,rojo,televisi&oacute;n ,podrido,feminine,furniture,61
color,size,6.245983333333333,21,0.15,enorme,ventilador,morado,masculine,furniture,61
size,color,6.245983333333333,22,0.78,azul,escritorio,peque&ntilde;o,masculine,furniture,61
quality,age,6.245983333333333,23,0.17,viejo,zanahoria,malo,feminine,food,61
size,texture,6.245983333333333,24,0.85,suave,televisi&oacute;n ,enorme,feminine,furniture,61
age,color,6.245983333333333,25,0.83,rojo,silla,fresco,feminine,furniture,61
shape,nationality,6.245983333333333,26,0.21,americano,zanahoria,redondo,feminine,food,61
color,nationality,6.245983333333333,27,0.16,americano,queso,verde,masculine,food,61
age,color,6.245983333333333,28,0.73,rojo,sof&aacute; ,viejo,masculine,furniture,61
quality,size,3.6146833333333332,3,0.18,largo,zanahoria,bueno,feminine,food,62
nationality,size,3.6146833333333332,4,0.63,enorme,escritorio,mexicano,masculine,furniture,62
texture,size,3.6146833333333332,5,0.14,grande,zanahoria,duro,feminine,food,62
size,nationality,3.6146833333333332,6,0.88,americano,queso,largo,masculine,food,62
size,texture,3.6146833333333332,7,0.12,duro,zanahoria,min&uacute;sculo,feminine,food,62
size,texture,3.6146833333333332,8,0.82,liso,ventilador,peque&ntilde;o,masculine,furniture,62
quality,nationality,3.6146833333333332,9,0.82,mexicano,zanahoria,malo,feminine,food,62
nationality,size,3.6146833333333332,10,0.09,grande,ventilador,americano,masculine,furniture,62
nationality,quality,3.6146833333333332,11,0.8,bueno,ventilador,espa&ntilde;ol,masculine,furniture,62
shape,age,3.6146833333333332,12,0.13,podrido,queso,redondo,masculine,food,62
nationality,quality,3.6146833333333332,13,0.89,bueno,sof&aacute; ,mexicano,masculine,furniture,62
texture,color,3.6146833333333332,14,0.11,marr&oacute;n,pl&aacute;tano,duro,masculine,food,62
color,nationality,3.6146833333333332,15,0.78,espa&ntilde;ol,escritorio,rojo,masculine,furniture,62
color,shape,3.6146833333333332,16,0.27,cuadrado,escritorio,morado,masculine,furniture,62
color,texture,3.6146833333333332,17,0.07,suave,silla,verde,feminine,furniture,62
shape,quality,3.6146833333333332,18,0.9,malo,sof&aacute; ,redondo,masculine,furniture,62
quality,size,3.6146833333333332,19,0.1,largo,sof&aacute; ,bueno,masculine,furniture,62
nationality,age,3.6146833333333332,20,0.87,viejo,ventilador,americano,masculine,furniture,62
size,age,3.6146833333333332,21,0.15,viejo,manzana,corto,feminine,food,62
color,size,3.6146833333333332,22,0.92,largo,sof&aacute; ,rojo,masculine,furniture,62
age,size,3.6146833333333332,23,0.11,enorme,escritorio,fresco,masculine,furniture,62
size,color,3.6146833333333332,24,0.86,azul,ventilador,grande,masculine,furniture,62
nationality,age,3.6146833333333332,25,0.17,viejo,manzana,americano,feminine,food,62
age,texture,3.6146833333333332,26,0.37,liso,ventilador,fresco,masculine,furniture,62
nationality,color,3.6146833333333332,27,0.63,morado,ventilador,mexicano,masculine,furniture,62
texture,nationality,3.6146833333333332,28,0.82,mexicano,televisi&oacute;n ,suave,feminine,furniture,62
age,quality,1.3672,3,0.22,malo,silla,podrido,feminine,furniture,63
size,quality,1.3672,4,1,malo,sof&aacute; ,min&uacute;sculo,masculine,furniture,63
size,age,1.3672,5,0.24,nuevo,manzana,min&uacute;sculo,feminine,food,63
age,size,1.3672,6,0.33,grande,pl&aacute;tano,nuevo,masculine,food,63
quality,color,1.3672,7,0.8,amarillo,escritorio,bueno,masculine,furniture,63
shape,nationality,1.3672,8,0.31,americano,queso,cuadrado,masculine,food,63
texture,age,1.3672,9,0.65,viejo,zanahoria,suave,feminine,food,63
color,age,1.3672,10,0.51,nuevo,escritorio,marr&oacute;n,masculine,furniture,63
color,texture,1.3672,11,0.77,suave,manzana,rojo,feminine,food,63
color,size,1.3672,12,0.22,grande,ventilador,azul,masculine,furniture,63
age,size,1.3672,13,0.69,corto,sof&aacute; ,podrido,masculine,furniture,63
size,shape,1.3672,14,0.42,cuadrado,televisi&oacute;n ,corto,feminine,furniture,63
age,color,1.3672,15,0.06,rojo,televisi&oacute;n ,nuevo,feminine,furniture,63
color,nationality,1.3672,16,0.73,espa&ntilde;ol,zanahoria,verde,feminine,food,63
color,age,1.3672,17,0.28,fresco,tomate,amarillo,masculine,food,63
shape,age,1.3672,18,0.87,fresco,televisi&oacute;n ,redondo,feminine,furniture,63
size,quality,1.3672,19,0.22,bueno,tomate,largo,masculine,food,63
age,texture,1.3672,20,0.63,duro,pl&aacute;tano,viejo,masculine,food,63
size,texture,1.3672,21,0.16,liso,zanahoria,enorme,feminine,food,63
size,shape,1.3672,22,0.67,cuadrado,silla,corto,feminine,furniture,63
color,age,1.3672,23,0.5,podrido,ventilador,verde,masculine,furniture,63
quality,texture,1.3672,24,0.78,duro,zanahoria,malo,feminine,food,63
quality,age,1.3672,25,0.7,podrido,queso,malo,masculine,food,63
age,size,1.3672,26,0.34,enorme,pl&aacute;tano,nuevo,masculine,food,63
color,size,1.3672,27,0.66,peque&ntilde;o,televisi&oacute;n ,verde,feminine,furniture,63
nationality,shape,1.3672,28,0.5,cuadrado,sof&aacute; ,americano,masculine,furniture,63
texture,size,3.70555,3,0.23,peque&ntilde;o,televisi&oacute;n ,liso,feminine,furniture,64
size,age,3.70555,4,0.68,fresco,escritorio,largo,masculine,furniture,64
color,texture,3.70555,5,0.73,liso,silla,marr&oacute;n,feminine,furniture,64
color,shape,3.70555,6,0.79,redondo,escritorio,azul,masculine,furniture,64
color,age,3.70555,7,0.82,fresco,sof&aacute; ,marr&oacute;n,masculine,furniture,64
texture,quality,3.70555,8,0.83,bueno,televisi&oacute;n ,liso,feminine,furniture,64
size,age,3.70555,9,0.76,podrido,queso,grande,masculine,food,64
shape,color,3.70555,10,0.24,rojo,zanahoria,redondo,feminine,food,64
color,texture,3.70555,11,0.22,liso,televisi&oacute;n ,verde,feminine,furniture,64
age,size,3.70555,12,0.2,grande,sof&aacute; ,viejo,masculine,furniture,64
quality,shape,3.70555,13,0.21,redondo,ventilador,bueno,masculine,furniture,64
color,texture,3.70555,14,0.16,suave,pl&aacute;tano,azul,masculine,food,64
color,nationality,3.70555,15,0.3,mexicano,manzana,morado,feminine,food,64
nationality,texture,3.70555,16,0.18,liso,pl&aacute;tano,mexicano,masculine,food,64
size,color,3.70555,17,0.16,verde,silla,peque&ntilde;o,feminine,furniture,64
size,age,3.70555,18,0.81,fresco,ventilador,largo,masculine,furniture,64
size,age,3.70555,19,0.77,fresco,silla,grande,feminine,furniture,64
texture,size,3.70555,20,0.89,peque&ntilde;o,queso,duro,masculine,food,64
texture,quality,3.70555,21,0.69,bueno,pl&aacute;tano,liso,masculine,food,64
quality,color,3.70555,22,0.86,amarillo,zanahoria,bueno,feminine,food,64
age,color,3.70555,23,0.35,azul,televisi&oacute;n ,viejo,feminine,furniture,64
age,size,3.70555,24,0.29,enorme,escritorio,nuevo,masculine,furniture,64
color,texture,3.70555,25,0.2,suave,sof&aacute; ,rojo,masculine,furniture,64
texture,color,3.70555,26,0.77,verde,tomate,liso,masculine,food,64
size,color,3.70555,27,0.83,amarillo,escritorio,corto,masculine,furniture,64
color,quality,3.70555,28,0.16,bueno,queso,rojo,masculine,food,64
shape,age,8.424983333333333,3,0.7,viejo,zanahoria,redondo,feminine,food,65
color,age,8.424983333333333,4,0.67,nuevo,queso,rojo,masculine,food,65
size,quality,8.424983333333333,5,0.75,malo,sof&aacute; ,peque&ntilde;o,masculine,furniture,65
age,shape,8.424983333333333,6,0.67,redondo,escritorio,podrido,masculine,furniture,65
color,texture,8.424983333333333,7,0.7,suave,queso,verde,masculine,food,65
size,color,8.424983333333333,8,0.64,verde,sof&aacute; ,min&uacute;sculo,masculine,furniture,65
texture,color,8.424983333333333,9,0.73,verde,escritorio,duro,masculine,furniture,65
texture,color,8.424983333333333,10,0.73,rojo,silla,liso,feminine,furniture,65
nationality,size,8.424983333333333,11,0.75,min&uacute;sculo,queso,mexicano,masculine,food,65
color,quality,8.424983333333333,12,0.72,malo,pl&aacute;tano,marr&oacute;n,masculine,food,65
nationality,age,8.424983333333333,13,0.79,viejo,televisi&oacute;n ,americano,feminine,furniture,65
size,nationality,8.424983333333333,14,0.63,espa&ntilde;ol,zanahoria,corto,feminine,food,65
quality,size,8.424983333333333,15,0.82,enorme,pl&aacute;tano,bueno,masculine,food,65
nationality,size,8.424983333333333,16,0.65,min&uacute;sculo,manzana,americano,feminine,food,65
quality,age,8.424983333333333,17,0.74,fresco,queso,malo,masculine,food,65
age,color,8.424983333333333,18,0.41,amarillo,queso,viejo,masculine,food,65
color,age,8.424983333333333,19,0.61,viejo,manzana,azul,feminine,food,65
color,texture,8.424983333333333,20,0.63,liso,ventilador,morado,masculine,furniture,65
shape,color,8.424983333333333,21,0.72,marr&oacute;n,sof&aacute; ,cuadrado,masculine,furniture,65
age,texture,8.424983333333333,22,0.69,duro,ventilador,nuevo,masculine,furniture,65
texture,size,8.424983333333333,23,0.71,enorme,sof&aacute; ,liso,masculine,furniture,65
